evaluation,dataset_scope,stage,component,component_label,n_epochs,mean,sd,q10,median,q90,fraction_above_0p90
repeated_held_aside_diagnostic_test,pooled,N3,f_repeat_micro_v3,fixed R^* micro-correction,5,0.07003489624381036,0.10021710893177725,0.007180624143363644,0.0436323786219576,0.16608599540388969,0.0
repeated_held_aside_diagnostic_test,pooled,REM,f_self_similarity,pure F_S,12,0.5770105393614292,0.4001617305410168,0.05743277952248213,0.6456215779247689,0.9850349915808239,0.3333333333333333
repeated_held_aside_diagnostic_test,pooled,REM,f_old_return_prominence,old single-P correction,12,0.5503457300775164,0.4434964128851864,0.013725613879630994,0.7167148917599894,0.9900495000278725,0.4166666666666667
repeated_held_aside_diagnostic_test,pooled,REM,f_repeat_micro_v3,fixed R^* micro-correction,12,0.5700012256377618,0.40702504236556636,0.045860888052797796,0.6844114549963232,0.9819610809342892,0.3333333333333333
repeated_held_aside_diagnostic_test,Zhang,W,f_self_similarity,pure F_S,35,0.7847394810038274,0.36262698674240174,0.0532233882571487,0.9931672344271034,0.9999997905220516,0.6571428571428571
repeated_held_aside_diagnostic_test,Zhang,W,f_old_return_prominence,old single-P correction,35,0.7503917739153345,0.39699920985378173,0.009697881011260203,0.9990062880831166,0.9999999999999316,0.6285714285714286
repeated_held_aside_diagnostic_test,Zhang,W,f_repeat_micro_v3,fixed R^* micro-correction,35,0.7773116349373644,0.3694735100103408,0.0488124618749423,0.9922458056481459,0.9999998368583968,0.6571428571428571
repeated_held_aside_diagnostic_test,Zhang,N1,f_self_similarity,pure F_S,27,0.7135092526277177,0.32350712715688884,0.15158231501224162,0.8315955729176036,0.9952772686692437,0.3333333333333333
repeated_held_aside_diagnostic_test,Zhang,N1,f_old_return_prominence,old single-P correction,27,0.6508089465021994,0.37161251067225287,0.023535610987721348,0.7769315951724015,0.998832690841675,0.4074074074074074
repeated_held_aside_diagnostic_test,Zhang,N1,f_repeat_micro_v3,fixed R^* micro-correction,27,0.7028701496959285,0.33158548712364344,0.12229706537023129,0.83673316459901,0.9939718414640251,0.3333333333333333
repeated_held_aside_diagnostic_test,Zhang,N2,f_self_similarity,pure F_S,36,0.5611874665544536,0.3733988782426126,0.045686225434464836,0.5763455750425073,0.9860259466098443,0.3055555555555556
repeated_held_aside_diagnostic_test,Zhang,N2,f_old_return_prominence,old single-P correction,36,0.502267994112542,0.3955110825208516,0.010032004369761767,0.48552011070822965,0.9879401579702678,0.3055555555555556
repeated_held_aside_diagnostic_test,Zhang,N2,f_repeat_micro_v3,fixed R^* micro-correction,36,0.5427697260621791,0.3775448464623908,0.039920426549923005,0.5271075260812256,0.982766229329643,0.3055555555555556
repeated_held_aside_diagnostic_test,Zhang,N3,f_self_similarity,pure F_S,2,0.03113460634790579,0.032131872887785067,0.012958074178964198,0.03113460634790579,0.04931113851684739,0.0
repeated_held_aside_diagnostic_test,Zhang,N3,f_old_return_prominence,old single-P correction,2,0.007621310250981657,0.0044364971829506765,0.005111648456758107,0.007621310250981657,0.010130972045205208,0.0
repeated_held_aside_diagnostic_test,Zhang,N3,f_repeat_micro_v3,fixed R^* micro-correction,2,0.025438553341671048,0.025729954462827723,0.010883493117441806,0.025438553341671048,0.039993613565900296,0.0
repeated_held_aside_diagnostic_test,Zhang,REM,f_self_similarity,pure F_S,9,0.5984644656062943,0.4099786791897975,0.04981183013395543,0.801191017212665,0.9886679233475204,0.3333333333333333
repeated_held_aside_diagnostic_test,Zhang,REM,f_old_return_prominence,old single-P correction,9,0.5459985762606288,0.46015134815489667,0.009481475235600702,0.7732098030496316,0.9787234520424665,0.4444444444444444
repeated_held_aside_diagnostic_test,Zhang,REM,f_repeat_micro_v3,fixed R^* micro-correction,9,0.5853334075047189,0.4186305880800274,0.039527035143509553,0.8366652172092653,0.9858200432644809,0.3333333333333333
repeated_held_aside_diagnostic_test,Kumral,N1,f_self_similarity,pure F_S,2,0.12481627532011785,0.05036265619549445,0.0963268547485972,0.12481627532011785,0.1533056958916385,0.0
repeated_held_aside_diagnostic_test,Kumral,N1,f_old_return_prominence,old single-P correction,2,0.09800388978435491,0.10210057239397283,0.04024708410210995,0.09800388978435491,0.15576069546659987,0.0
repeated_held_aside_diagnostic_test,Kumral,N1,f_repeat_micro_v3,fixed R^* micro-correction,2,0.12031003404728444,0.013090776896782086,0.1129047723555126,0.12031003404728444,0.1277152957390563,0.0
repeated_held_aside_diagnostic_test,Kumral,N2,f_self_similarity,pure F_S,14,0.42982010467859155,0.37470895749864486,0.042332324299759805,0.36815603029070976,0.8261020120380791,0.07142857142857142
repeated_held_aside_diagnostic_test,Kumral,N2,f_old_return_prominence,old single-P correction,14,0.3621290248804781,0.32804402060964927,0.005627820410014896,0.29859353575248687,0.6973888113053899,0.07142857142857142
repeated_held_aside_diagnostic_test,Kumral,N2,f_repeat_micro_v3,fixed R^* micro-correction,14,0.41205209306031926,0.3597196116980822,0.034034277985681295,0.3440099344247087,0.7951937842888057,0.07142857142857142
repeated_held_aside_diagnostic_test,Kumral,N3,f_self_similarity,pure F_S,3,0.11485577619478055,0.15682440442314405,0.014817503812166684,0.04150923720177322,0.24423266417459735,0.0
repeated_held_aside_diagnostic_test,Kumral,N3,f_old_return_prominence,old single-P correction,3,0.05544498445463264,0.04476207176268642,0.018287209081205458,0.07361909180356041,0.0853331168884887,0.0
repeated_held_aside_diagnostic_test,Kumral,N3,f_repeat_micro_v3,fixed R^* micro-correction,3,0.09976579151190323,0.1282232411326011,0.01492000695713944,0.046048481993631554,0.20609849987397572,0.0
repeated_held_aside_diagnostic_test,Kumral,REM,f_self_similarity,pure F_S,3,0.5126487606268343,0.4473218210171417,0.1596532351500176,0.49005213863687297,0.8746829348996357,0.3333333333333333
repeated_held_aside_diagnostic_test,Kumral,REM,f_old_return_prominence,old single-P correction,3,0.5633871915281793,0.484244424916321,0.16247831415625336,0.6602199804703471,0.925562953323238,0.3333333333333333
repeated_held_aside_diagnostic_test,Kumral,REM,f_repeat_micro_v3,fixed R^* micro-correction,3,0.5240046800368904,0.45381050737114526,0.15936961656705928,0.5321576927833811,0.8853785384081251,0.3333333333333333
